symbol	manifest_address	source_status	rom_structure	corpus_status	decision	confidence	reason
_MonWasStoredText	22:6159	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_MonsStatsFellText	25:47B3	HISTORICAL_ONLY		NOT_IN_GENERATOR_REPORT	HISTORICAL_ONLY	HIGH	Runtime moderno ricostruisce il testo direttamente con Strings(); simbolo presente come riferimento storico/commento.
_MonsStatsRoseText	25:4795	HISTORICAL_ONLY		NOT_IN_GENERATOR_REPORT	HISTORICAL_ONLY	HIGH	Runtime moderno ricostruisce il testo direttamente con Strings(); simbolo presente come riferimento storico/commento.
_MoveWasDisabledText	25:489E	HISTORICAL_ONLY		NOT_IN_GENERATOR_REPORT	HISTORICAL_ONLY	HIGH	Runtime moderno ricostruisce il testo direttamente con Strings(); simbolo presente come riferimento storico/commento.
_NoMovesLeftText	22:5892	HISTORICAL_ONLY		NOT_IN_GENERATOR_REPORT	HISTORICAL_ONLY	HIGH	Runtime moderno ricostruisce il testo direttamente con Strings(); simbolo presente come riferimento storico/commento.
_OakSpeechText2A	22:647F	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_PewterGymGuideBeginAdviceText	26:43DC	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_PlayedFluteHadEffectText	29:6928	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_PlayerMonFaintedText	22:570C	HISTORICAL_ONLY		NOT_IN_GENERATOR_REPORT	HISTORICAL_ONLY	HIGH	Runtime moderno ricostruisce il testo direttamente con Strings(); simbolo presente come riferimento storico/commento.
_PokemartItemBagFullText	28:6670	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_PokemartTellBuyPriceText	28:6619	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_PokemartTellSellPriceText	28:66AE	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_PokemartThankYouText	28:670D	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_PowerPlantZapdosBattleText	23:45EA	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_SaffronGateGuardImParchedText	22:6AA9	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_SilphCo11FSilphPresidentReceivedMasterBallText	21:4F63	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_TradeSendsText	22:4112	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_TradeTransferredText	22:413B	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_TradeWavesFarewellText	22:4124	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_TradeWentToText	22:40EF	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_TradedForText	2A:40BC	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_TrainerAboutToUseText	22:5784	HISTORICAL_ONLY		NOT_IN_GENERATOR_REPORT	HISTORICAL_ONLY	HIGH	Runtime moderno ricostruisce il testo direttamente con Strings(); simbolo presente come riferimento storico/commento.
_UsedCutText	2A:4315	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_UsedStrengthText	29:403C	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_VermilionCitySailor1DoYouHaveATicketText	29:5734	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_VermilionGymTrashFailText	22:548C	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_VermilionGymTrashSuccessText1	22:53C6	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_VermilionGymTrashSuccessText3	22:5451	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_ViridianCityYoungster2YouWantToKnowAboutText	29:4494	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_ViridianGymGiovanniPostBattleAdviceText	25:5F2B	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_ViridianMartClerkParcelQuestText	25:5C79	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_WithExpAllText	22:5BD0	HISTORICAL_ONLY		NOT_IN_GENERATOR_REPORT	HISTORICAL_ONLY	HIGH	Runtime moderno ricostruisce il testo direttamente con Strings(); simbolo presente come riferimento storico/commento.
